name,comics,description
Flatman,6,
Flying Dutchman,0,
Foggy Nelson,34,
Force Works,10,
Forearm,22,
Forge,134,
Forge (Ultimate),3,
Forgotten One,2,
Frank Castle,4,
Frankenstein's Monster,26,
Franklin Richards,36,"The son of Reed Richards and Susan Storm of the Fantastic Four, Franklin may one day be the most powerful person on Earth. Right now, he's the son of a genius who finds adventure and fun around every corner."
Franklin Storm,0,Franklin Storm was the father of Susan and Johnny Storm.
Freak,6,
Frightful Four,5,
Frog Thor,2,
Frog-Man,2,
Gabe Jones,0,
Galactus,149,
Galia,0,
Gambit,402,
Gamma Corps,0,
Gamora,43,
Gamora (Marvel War of Heroes),0,
Gargoyle,4,
Gargoyle (Yuri Topolov),1,
Garia,0,
Garrison Kane,18,
Gateway,29,
Gauntlet (Joseph Green),30,
Geiger,0,
Gene Sailors,0,
Generation X,94,
Genesis,16,
Genis-Vell,0,
George Stacy (Ultimate),9,
Gertrude Yorkes,8,
Ghost Rider (Daniel Ketch),43,
Ghost Rider (Johnny Blaze),258,
Ghost Rider (Marvel War of Heroes),0,
Giant Girl,2,
Giant Man,38,
Giant-dok,0,
Giant-Man (Ultimate),8,
Gideon,16,
Git Hoskins,0,
Gladiator (Kallark),77,
Gladiator (Melvin Potter),2,
Glenn Talbot,2,"Major Glenn Talbot was member of United States Air Force, United States Army and Hulkbusters."
Glorian,3,
Goblin Queen,9,
Golden Guardian,0,
Goliath (Bill Foster),13,
Gorgon,55,
Gorilla Man,17,
Grandmaster,8,
Gravity,23,
Great Lakes Avengers,11,
Green Goblin (Barry Norman Osborn),0,
Green Goblin (Harry Osborn),10,
Green Goblin (Ultimate),2,
Gressill,0,
Grey Gargoyle,23,
Greymalkin,0,
Grim Reaper,30,
Groot,33,
Guardian,31,
Guardians of the Galaxy,246,"A group of cosmic adventurers brought together by Star-Lord, the  Guardians of the Galaxy protect the universe from threats all  across space. The team also includes Drax, Gamora, Groot and Rocket  Raccoon!"
Guardsmen,0,
Gunslinger,0,
GW Bridge,22,
Gwen Stacy,70,"Peter Parker's first true love, Gwen Stacy was killed during a rescue attempt by Spider-Man, the guilt from which Peter has never overcome."
Gwen Stacy (Ultimate),24,
H.A.M.M.E.R.,7,
H.E.R.B.I.E.,0,
Hairball,1,
Half-Life (Tony Masterson),0,
Hammerhead,27,
Hammerhead (Ultimate),6,
Hank Pym,227, 
Hannibal King,2,
Happy Hogan,16,
Hardball,18,
Harley Davidson Cooper,0,
Harpoon,13,
Harrier,0,
Harry Heck,0,
Harry Osborn,91,
Harry Osborn (Ultimate),10,
Hate-Monger (Adolf Hitler),2,
Havok,288,
Hawkeye,465,
Hawkeye (Kate Bishop),49,
Hawkeye (Marvel Heroes),0,
Hawkeye (Ultimate),16,
Hawkeye/Clint Barton (MAA),0,"Hawkeye is an expert archer with an attitude just as on-target as his aim. His stealth combat experience and his ability to hit any target with any projectile make him a valuable member of the Avengers. However, he refuses to let things get too serious, as he has as many jokes as he does arrows!"
Hedge Knight,1,
Hellcat (Patsy Walker),61,
Hellfire Club,29,
Hellfire Club (Ultimate),4,
Hellion,18,
Hellions (Squad),4,
Hemingway,1,
Henry Peter Gyrich,12,
Hepzibah,37,
Hercules,205,
Heroes For Hire,77,
Hex,0,
High Evolutionary,32,
Hindsight Lad,0,
Hiroim,4,
Hitman,5,
Hitomi Sakuma,0,
Hobgoblin (Jason Macendale),9,
Hobgoblin (Robin Borne),0,
Hobgoblin (Roderick Kingsley),37,
Holocaust (Age of Apocalypse),27,
Holy,0,
Hope Summers,84,
Howard Saint,0,
Howard The Duck,92,
Hulk,1444,"Caught in a gamma bomb explosion while trying to save the life of a teenager, Dr. Bruce Banner was transformed into the incredibly powerful creature called the Hulk. An all too often misunderstood hero, the angrier the Hulk gets, the stronger the Hulk gets."
Hulk (HAS),0,"The Hulk is the biggest, strongest, smashing-est hero in the Marvel Universe - the green glue that holds his crazy family-like team together. Hulk loves saving the world by smashing every alien, sea creature, and planet (literally) that tries to destroy it. He is the star of his best bud A-Bomb's web series, and just wants to show people his good intentions!"
Hulk (LEGO Marvel Super Heroes),0,
Hulk (Marvel Zombies),0,
Hulk (Marvel: Avengers Alliance),0,
Hulk (Ultimate),16,
Hulk-dok,0,
Hulk/Bruce Banner (MAA),0,"Scientist Bruce Banner was transformed into the Hulk as a result to gamma radiation exposure. Over 8 feet tall and weighing 1,040 pounds, it's Hulk's strength that makes him the strongest hero in the Marvel Universe! Hulk smashes all threats that dare disturb the peace and friendship he has found in the Avengers. "
Hulkling,19,
Human Cannonball,2,
Human Fly (Richard Deacon),0,
Human Robot,13,
Human Torch,869,
Human Torch (Jim Hammond),31,
Human Torch (Ultimate),28,
Humbug,6,
Husk,38,
Hussar,8,
Hydra,135,
Hydro-Man,8,
Hyperion (Earth-712),34,
Hypno-Hustler,2,
Iceman,510,
Iceman (Ultimate),38,
Iceman (X-Men: Battle of the Atom),0,
Ikaris,2,
Illuminati,10,
Ilyana Rasputin,0,
Imp,0,
Imperfects,0,
Imperial Guard,12,
Impossible Man,14,
In-Betweener,4,
Inertia,3,
Infant Terrible,0,
Inhumans,208,
Ink,1,
Invaders,64,
Invisible Woman,393,
Invisible Woman (Marvel: Avengers Alliance),0,
Invisible Woman (Ultimate),20,
Iron Cross Army,0,
Iron Fist (Bei Bang-Wen),6,
Iron Fist (Danny Rand),332,
Iron Fist (Orson Randall),14,
Iron Fist (Quan Yaozu),1,
Iron Fist (USM),0,"Danny is always focused yet relaxed - more Zen-focused than chill surfer dude. But when Danny turns into Iron First, he becomes very rigid with perfect posture. A very Yin/Yang character. 

Danny is THE Danny Rand â€“ the 17-year-old head of the giant Rand Corporation.  His wealth rivals Osbornâ€™s â€“ but youâ€™d never know it from his laid- back attitude. However, as Iron Fist, he takes his powers very seriously. 

While Danny and Luke are best friends, Danny has a special respect for Spider-Man, acting as a non-judgmental moral commentator on all of Spider-Manâ€™s actions. "
Iron Fist (Wu Ao-Shi),2,
Iron Lad,7,
Iron Man,2367,"Wounded, captured and forced to build a weapon by his enemies, billionaire industrialist Tony Stark instead created an advanced suit of armor to save his life and escape captivity. Now with a new outlook on life, Tony uses his money and intelligence to make the world a safer, better place as Iron Man."
Iron Man (Iron Man 3 - The Official Game),0,
Iron Man (LEGO Marvel Super Heroes),0,
Iron Man (Marvel Heroes),0,
Iron Man (Marvel War of Heroes),0,
Iron Man (Ultimate),24,
Iron Man/Tony Stark (MAA),0,"Tony Stark is the genius inventor/billionaire/philanthropist owner of Stark Industries. With his super high-tech Iron Man suit, he is practically indestructible, able to fly, and has a large selection of weapons to choose from - but it's Tony's quick thinking and ability to adapt and improvise that make him an effective leader of the Avengers.        "
Iron Monger,0,
Iron Patriot,3,
Iron Patriot (James Rhodes),78,"U.S. Air Force pilot and Tony Stark's friend who has his own suit of Iron Man armor, nicknamed, ""War Machine."""
Ironclad,0,
J. Jonah Jameson,239,
Jack Flag,0,
Jack Murdock,1,
Jack O' Lantern,8,
Jack Power,5,
Jackal,43,
Jackpot,8,
James Buchanan Barnes,2,
James Howlett,3,
Jamie Braddock,11,
Jane Foster,46,
"Janus, the Nega-Man",0,
Jasper Sitwell,15,
Jazinda,0,
Jean Grey,48,
Jean Grey,184,
Jean Grey (Ultimate),50,
Jennifer Smith,0,
Jeryn Hogarth,17,
Jessica Drew,5,
Jessica Jones,102,
Jetstream,1,
Jigsaw,15,
Jimmy Woo,10,Jimmy Woo is a former FBI and SHIELD agent from the '50s who now leads the Agents of Atlas in the present.
Joan the Mouse,0,
Jocasta,62,
John Farson,0,
John Jameson,4,
John Porter,0,
John Wraith,1,"A mutant with teleportation powers, Wraith served with Wolverine, Sabretooth, Maverick and Silver Fox in Team X, a covert operations unit formed by Weapon X."
Johnny Blaze,2,
Johnny Storm,3,
Joseph,37,
Joshua Kane,0,
Josiah X,2,
Joystick,5,
Jubilee,212,
Jubilee (Age of Apocalypse),0,
Juggernaut,175,
Jule Carpenter,0,
Julian Keller,6,
Junta,1,
Justice,72,
Justin Hammer,5,
Ka-Zar,77,
Kabuki,11,
Kang,109,
Karen O'Malley,0,
Karen Page,8,
Karma,52,
Karnak,92,
Karolina Dean ,7,
Kat Farrell,6,
Kate Bishop,1,
Katie Power,6,
Ken Ellis,6,"Former Daily Bugle and current DB! reporter Ken Ellis first made a splash during the public debut of Ben Reilly as the Scarlet Spider, providing the new costumed hero with his name following a pitched battle with Venom."
Khan,0,
Kid Colt,9,
Killer Shrike,3,
Killmonger,8,
Killraven,34,
King Bedlam,2,
King Cobra,3,
Kingpin,194,
Kinsey Walden,0,
Kitty Pryde,267,
Kitty Pryde (X-Men: Battle of the Atom),0,
Klaw,41,
Komodo (Melati Kusuma),20,
Korath,5,
Korg,6,
Korvac,9,
Kraven the Hunter,47,
Kree,13,
Krista Starr,0,
Kronos,0,
Kulan Gath,5,
Kylun,0,
La Nuit,2,
Lady Bullseye,22,
Lady Deathstrike,72,
Lady Mastermind,0,
Lady Ursula,0,
Lady Vermin,0,
Lake,0,
Landau,0,
Lava-Man,1,
Layla Miller,41,
Leader,35,
Leech,3,
Legion,77,
"Lei Kung, The Thunderer",6,
Lenny Balinger,0,
Leo (Zodiac),0,
Leopardon,0,
Leper Queen,1,
Lester,0,
Lethal Legion,9,
Lieutenant Marcus Stone,1,
Lifeguard,4,
Lightning Lords of Nepal,1,
Lightspeed,20,
Lila Cheney,7,
Lilandra,107,
Lilith,6,
Lily Hollister,9,
Lionheart,0,
Living Lightning,20,
Living Mummy,6,
Living Tribunal,6,
Liz Osborn,11,
Lizard,81,
Lizard (Ultimate),2,
Loa,5,
Lockheed,57,
Lockjaw,47,
Logan,16,
Loki,291,
Loki (LEGO Marvel Super Heroes),0,
Loners,1,
Longshot,85,
Longshot (Ultimate),0,
Lord Hawal,1,
Lord Tyger,0,
Lords of Avalon,1,
Lorna Dane,8,
Luckman,0,
Lucky Pierre,1,
Lucy in the Sky,0,
Luke Cage,302,
Luminals,0,
Lyja,3,
M (Monet St. Croix),36,
M.O.D.A.M.,5,
M.O.D.O.G.,2,
M.O.D.O.K.,26,
M.O.D.O.K. (Iron Man 3 - The Official Game),0,
Ma Gnuci,2,
Mac Gargan,0,
Mach IV,3,
Machine Man,45,
Mad Thinker,18,
Madame Hydra,15,
Madame Masque,23,
Madame Web (Julia Carpenter),1,
Maddog,2,
Madelyne Pryor,18,
Madripoor,0,
Madrox,76,
Maelstrom,3,
Maestro,10,
Magdalene,7,
Maggott,22,
Magik (Amanda Sefton),2,
Magik (Illyana Rasputin),80,
Maginty,0,
Magma (Amara Aquilla),59,
Magneto,377,
Magneto (Age of Apocalypse),9,
Magneto (House of M),8,
Magneto (Ultimate),32,
Magneto (X-Men: Battle of the Atom),0,
Magus (Adam Warlock),11,
Magus (Technarch),4,
Major Mapleleaf,2,
Makkari,7,
Malcolm Colcord,9,
Malice (Earth-161),0,
Man-Thing,98,
Man-Wolf,19,
Mandarin,75,
Mandrill,1,
Mandroid,2,
Manta,9,
Mantis,30,
Marauders,15,
Marcus Van Sciver,0,
Maria Hill,78,
Mariko Yashida,12,"Mariko Yashida was the daughter of Japanese crimelord Lord Shingen, leader of Clan Yashida, and one-time fiance of Wolverine."
Marrow,81,
Marten Broadcloak,0,
Martin Li,0,
Marvel Apes,9,
Marvel Boy,39,
Marvel Zombies,10,
Marvex,2,
Mary Jane Watson,341,"Mary Jane Watson was the guiding light in Peter Parker's life, and their love had overcome countless obstacles."
Mary Jane Watson (House of M),2,"Mary Jane Watson always wanted to be an actress, but all the roles seemed to go to mutants, until her former high school friend, and world famous performer, Peter Parker asked her to play his love interest in his newest movie, upon the release of which made her America's sweetheart and one of the only human movies stars able to launch her own solo projects."
Mary Jane Watson (Ultimate),44,
Masked Marvel (Unrevealed),3,
Masque,34,
Master Chief,6,
Master Mold,8,
Mastermind,50,
Masters of Evil,15,
Mathemanic,0,
Matsu'o Tsurayaba,0,"Tsurayaba became leader of a faction of the ninja clan the Hand, finding himself at odds with his lover Kwannon who was an assassin for rival crimelord Nyoirin."
Matthew Murdock,7,
Mattie Franklin,0,
Mauler,4,
Maverick (Chris Bradley),4,
Maverick (Christoph Nord),4,
Maximus,22,
May Parker,151,
Medusa,118,
Meggan,11,
Meltdown,70,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home before eventually hooking up with the New Mutants and, subsequently, X-Force."
Menace,31,
Mentallo,3,
Mentor,1,
Mephisto,88,
Mephistopheles,0,
Mercury,16,
Mesmero,30,
Metal Master,0,
Meteorite,1,
MI: 13,0,
Micro/Macro,0,
Microbe,3,
Microchip,10,
Micromax,2,
Midnight (Earth-811),0,
Miek,2,
Mikhail Rasputin,4,
Millenium Guard,0,
Millie the Model,25,
Mimic,40,
Mindworm,0,
Miracleman,0,"Michael Moran has a superhuman alter ego. By saying the trigger word ""Kimota!"" Michael turns into Miracleman! But is the good of being Miracleman enough to outweigh the cost?"
Miss America,41,
Mister Fear,3,
Mister Sinister,83,
Mister Sinister (Deadpool),0,
Mister Sinister (House of M),0,
Mister Sinister (Ultimate),0,
Misty Knight,95,
Mockingbird,76,
Moira MacTaggert,25,
Moira MacTaggert (Ultimate),0,
Mojo,44,
Mole Man,55,
Molecule Man,4,
Molly Hayes,12,
Molly Von Richtofen,2,
Molten Man,7,
Mongoose,2,
Mongu (Unrevealed),0,
Monster Badoon,2,
Moon Knight,186,
Moon Knight (House of M),1,
Moon Knight (Ultimate),8,
Moondragon,42,
Moonstone,24,
Morbius,65,
Mordo,0,
Morg,6,
Morgan Stark,4,
Morlocks,3,
Morlun,2,
Morph,22,
Mother Askani,7,
Mr. Bumpo,0,
Mr. Fantastic,438,
Mr. Fantastic (Ultimate),19,
Mr. Fish,1,
Mr. Fixit,8,
Mr. Hyde,23,
Mr. Immortal,7,
Mr. Meugniot,0,
Mr. Negative,20,
Mr. Payback,0,
Mr. X,6,
Ms. Marvel (Kamala Khan),74,"A Muslim-American teenager growing up in Jersey City, Kamala Khan gained shape-shifting powers when Inhumanity spread over the Earth. A fan of super heroes, in particular Carol Danvers, Kamala took up Captain Marvel's former identity, becoming the new Ms. Marvel. This up and coming hero works to protect her community and understand her place in the world."
MS2,0,
Mulholland Black,0,
Multiple Man,34,
MVP,4,
Mysterio,63,
Mysterio (Daniel Berkhart),0,
Mysterio (Francis Klum),2,
Mystique,173,
Mystique (Age of Apocalypse),0,
Mystique (House of M),1,
Mystique (Ultimate),5,
Nakia (Nakia),0,
Namor,178,
Namora,45,
Namorita,48,
Naoko,0,
Natasha Romanoff,16,
Nebula,21,
Nehzno,0,
Nekra,0,
Nemesis,15,
Network,0,
New Goblin,0,
New Mutants,228,
New Warriors,69,
New X-Men,16,
Newton Destine,3,
Next Avengers,0,
Nextwave,14,
Nick Fury,433,
Nick Fury (LEGO Marvel Super Heroes),0,
Nick Fury (Ultimate),42,
Nico Minoru,15,
Nicolaos,6,
Night Nurse (Earth-9997),0,
Night Thrasher,14,
Night Thrasher (Dwayne Taylor),8,
Nightcrawler,558,
Nightcrawler (Ultimate),19,
Nighthawk,43,
Nightmare,38,
